#,Vessel name,IMO,Departure port,Country,Commodity,Metric tons,Departure date,Inspection cleared,Flag code,Development Status,Development Status 2,World Bank Income Classification,Departure week,Departure Month
581,BRAVE M,9153496,Odesa,Libya,Corn,17700,12/23/2022,1/3/2023,:ly:,developing,other developing,Upper middle income,51,December
581,BRAVE M,9153496,Odesa,Libya,Barley,9800,12/23/2022,1/3/2023,:ly:,developing,other developing,Upper middle income,51,December
580,A LINE,9246920,Odesa,Israel,Wheat,11500,12/23/2022,1/4/2023,:il:,developed,developed,High income,51,December
579,TUO FU 8,9649249,Chornomorsk,China,Sunflower meal,62979,12/22/2022,1/1/2023,:cn:,developing,other developing,Upper middle income,51,December
578,OMICRON ATLAS,9464510,Chornomorsk,China,Corn,65520,12/22/2022,12/27/2022,:cn:,developing,other developing,Upper middle income,51,December
577,LUCENT,9142215,Yuzhny/Pivdennyi,Türkiye,Wheat,45000,12/22/2022,1/2/2023,:tr:,developing,other developing,Upper middle income,51,December
576,ENEIDA,9198381,Chornomorsk,Türkiye,Wheat,44848,12/22/2022,12/28/2022,:tr:,developing,other developing,Upper middle income,51,December
575,BLUE ONE,9585651,Yuzhny/Pivdennyi,Spain,Wheat,30000,12/22/2022,12/28/2022,:es:,developed,developed,High income,51,December
574,SEA BRIDLE,9047001,Chornomorsk,Libya,Corn,25000,12/21/2022,12/29/2022,:ly:,developing,other developing,Upper middle income,51,December
573,FUAT BEY,9663817,Chornomorsk,China,Sunflower meal,25400,12/21/2022,12/26/2022,:cn:,developing,other developing,Upper middle income,51,December
572,SEVIL,9148518,Odesa,Türkiye,Corn,1966,12/20/2022,12/25/2022,:tr:,developing,other developing,Upper middle income,51,December
572,SEVIL,9148518,Odesa,Türkiye,Wheat,2959,12/20/2022,12/25/2022,:tr:,developing,other developing,Upper middle income,51,December
571,HALIM M,8606109,Odesa,Italy,Wheat,11000,12/20/2022,12/30/2022,:it:,developed,developed,High income,51,December
570,DIAS ,9248904,Odesa,China,Corn,63000,12/20/2022,12/28/2022,:cn:,developing,other developing,Upper middle income,51,December
569,ACRA,9693410,Yuzhny/Pivdennyi,China,Corn,60066,12/20/2022,12/29/2022,:cn:,developing,other developing,Upper middle income,51,December
569,ACRA,9693410,Yuzhny/Pivdennyi,China,Sunflower meal,9188,12/20/2022,12/29/2022,:cn:,developing,other developing,Upper middle income,51,December
568,ULUSOY 8,9458250,Yuzhny/Pivdennyi,Türkiye,Soya beans,21000,12/19/2022,12/25/2022,:tr:,developing,other developing,Upper middle income,51,December
